Wiek;Ogółem;Wyższe;Policealne;Średnie;Zasadnicze zawodowe;Gimnazjalne;Podstawowe
54;180939;27517;3904;56200;68233;90;16666
55;185119;28541;3484;57266;68848;101;18688
56;180152;27691;2986;56028;66371;129;19092
57;175928;26850;3190;55595;64063;81;19224
58;169887;25517;2739;53601;62836;70;19223
59;169596;25250;2621;53061;62671;178;19523
60;160634;25125;2817;49891;58725;89;18544
61;151598;25410;2580;46829;53934;104;18016
62;144716;24486;2669;45475;49500;133;18283
63;135911;23090;2398;43164;45049;107;18115
64;124293;23020;2102;39501;38704;85;17829
65;90708;16820;1398;28485;27626;55;13906
66;78278;14880;1373;23631;22841;77;13383
67;79358;14860;1378;22833;23342;140;14941
68;71392;13661;970;20265;19487;83;15375
69;72721;13550;1002;20059;19488;80;16825
70;71324;12468;749;20550;18399;72;17525
71;72582;13682;796;20234;18708;99;17337
72;68192;12202;738;19441;17898;124;16319
73;65411;11415;704;19043;16169;112;16569
74;63751;11664;723;18799;15539;127;15568
75;60807;11237;599;18161;13723;138;15681
76;55453;10344;460;16404;12043;212;14775
77;51960;9681;361;16190;10392;215;14025
78;48328;9126;436;15472;9122;203;12871
79;46749;9500;369;14265;7855;347;13288
80;43417;8996;428;12689;7474;292;12527
81;37233;7585;276;10007;6455;214;11837
82;31796;6269;207;8680;5415;165;10336
83;26132;5318;310;7289;3814;110;8807
84;21390;3860;158;6008;2667;113;8002
85 lat i więcej;81526;14859;594;21115;9863;650;31495
Kobiety;10715766;2533372;458456;3594844;1499274;409667;1592140
15 lat;112387;0;0;0;0;5845;102049
16;121008;0;0;0;0;80999;33285
17;128154;0;0;0;371;113406;7112
18;132356;0;0;13879;2986;104148;4898
19;143983;0;870;75657;7006;48475;3461
20;153743;336;1439;115668;8348;14482;3016
21;157698;2043;3622;121991;8233;7247;2869
22;163695;36165;5137;93024;7994;5446;3050
23;171429;54509;6704;79860;7788;4336;3092
24;176670;75622;6986;62194;8777;3724;2816
25;190594;93365;7494;53562;10886;2135;4236
26;200659;102500;7472;51291;12454;774;4920
27;210241;108700;7970;50244;14047;423;5681
28;208623;106085;7477;49356;15709;297;5833
29;199573;99952;7388;47218;16476;182;5610
30;201993;99950;7934;46203;18136;238;6322
31;201685;97097;8240;48345;19233;237;6362
32;197089;92899;7831;49188;20839;126;6512
33;192233;85211;8349;50800;23010;131;6349
34;193338;83441;9331;52636;24046;77;6548
35;186664;76274;9022;51751;25732;158;7349
36;178033;69328;8528;51512;26631;150;7507
